Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
,,29-Sep-15,CS,3,$92.85,MI
BERRIES BLUE 12/6 OZ Total,,,,34,"$1,065.80",
BERRIES RASP 12/6 OZ,1560,28-Sep-15,CS,23,$557.29,CA
BERRIES RASP 12/6 OZ Total,,,,23,$557.29,
BERRIES STRAW DRISCOLL 8/1 LB,1570,28-Sep-15,CS,21,$508.83,CA
,,14-Sep-15,CS,1,$24.44,CA
BERRIES STRAW DRISCOLL 8/1 LB Total,,,,22,$533.27,
BROCCOLI FLORETS---4/3 LB---,2506,10-Sep-15,CS,2,$56.60,CA
,,10-Sep-15,EA,2,$18.66,CA
,,17-Sep-15,CS,2,$40.38,CA
,,17-Sep-15,EA,2,$14.60,CA
,,24-Sep-15,CS,1,$28.30,CA
,,24-Sep-15,EA,7,$65.31,CA
,,28-Sep-15,CS,2,$39.60,CA
,,28-Sep-15,EA,2,$14.40,CA
,,03-Sep-15,CS,1,$27.88,CA
,,03-Sep-15,EA,2,$18.44,CA
,,14-Sep-15,CS,3,$60.57,CA
,,14-Sep-15,EA,2,$14.60,CA
,,08-Sep-15,CS,6,$169.80,CA
,,08-Sep-15,EA,3,$27.99,CA
,,21-Sep-15,EA,3,$27.99,CA
,,01-Sep-15,CS,3,$83.64,CA
,,01-Sep-15,EA,4,$36.88,CA
,,15-Sep-15,CS,2,$40.38,CA
,,15-Sep-15,EA,3,$21.90,CA
,,23-Sep-15,CS,1,$28.30,CA
,,23-Sep-15,EA,3,$27.99,CA
,,29-Sep-15,CS,1,$19.80,CA
,,29-Sep-15,EA,6,$43.20,CA
,,22-Sep-15,CS,2,$56.60,CA
,,22-Sep-15,EA,1,$9.33,CA
BROCCOLI FLORETS---4/3 LB--- Total,,,,66,$993.14,
CABBAGE GREEN CTN 16-18 CT,2530,17-Sep-15,CS,1,$20.95,FL
,,01-Sep-15,CS,1,$18.45,NC
,,01-Sep-15,EACH,13,$49.27,NC
,,15-Sep-15,EACH,3,$12.00,FL
CABBAGE GREEN CTN 16-18 CT Total,,,,18,$100.67,
CANTALOUPE 12 CT,1800,14-Sep-15,CS,43,$788.19,CA
CANTALOUPE 12 CT Total,,,,43,$788.19,
CARROT STICKS 4/5 LB,6060,24-Sep-15,EA,1,$8.92,CA
CARROT STICKS 4/5 LB Total,,,,1,$8.92,
CARROTS 100/2 OZ,6085,10-Sep-15,CS,8,$159.20,CA
,,17-Sep-15,CS,4,$79.24,CA
,,24-Sep-15,CS,6,$117.72,CA
,,28-Sep-15,CS,3,$55.56,CA
,,08-Sep-15,CS,3,$59.70,CA
,,21-Sep-15,CS,1,$19.62,CA
,,01-Sep-15,CS,9,$179.10,CA
,,15-Sep-15,CS,8,$158.48,CA
,,29-Sep-15,CS,3,$55.56,CA
,,22-Sep-15,CS,4,$78.48,CA
CARROTS 100/2 OZ Total,,,,49,$962.66,
CARROTS BABY PEELED 30/1 LB,2570,10-Sep-15,CS,1,$25.32,CA
,,17-Sep-15,EACH,3,$9.45,CA
,,24-Sep-15,CS,2,$49.94,CA
,,28-Sep-15,CS,3,$70.80,CA
,,28-Sep-15,EACH,2,$6.18,CA
,,03-Sep-15,CS,2,$60.98,CA
,,03-Sep-15,EACH,3,$10.02,CA
,,14-Sep-15,CS,3,$75.63,CA
,,08-Sep-15,CS,5,$126.60,CA
,,01-Sep-15,CS,1,$30.49,CA
,,01-Sep-15,EACH,1,$3.34,CA
,,29-Sep-15,CS,1,$23.60,CA
,,29-Sep-15,EACH,10,$30.90,CA
CARROTS BABY PEELED 30/1 LB Total,,,,37,$523.25,
CARROTS MATCHSTICK SHRED 4/5 LB,6080,10-Sep-15,EACH,2,$13.36,CA
,,17-Sep-15,EACH,2,$13.36,CA
,,24-Sep-15,CS,2,$35.12,CA
,,24-Sep-15,EACH,4,$26.56,CA
,,03-Sep-15,CS,1,$17.61,CA
,,03-Sep-15,EACH,1,$6.65,CA
,,14-Sep-15,EACH,2,$13.36,CA
,,08-Sep-15,CS,1,$17.71,CA
